tiempo,j1,j2,j3
2.20398,0.568396,0.413302,1.16266
2.40449,0.568305,0.413242,1.16266
2.60476,0.568305,0.413242,1.16263
2.80508,0.568305,0.413242,1.16263
3.00536,0.568366,0.412787,1.16278
3.20564,0.568336,0.410031,1.16336
3.40598,0.568275,0.370136,1.16369
3.60629,0.568124,0.296406,1.16384
3.80654,0.568184,0.249878,1.16393
4.00684,0.568215,0.197836,1.17938
4.20711,0.568215,0.17333,1.33163
4.40754,0.568184,0.153459,1.41375
4.60769,0.568093,0.0608866,1.44183
4.80799,0.568093,-0.101084,1.44183
5.00823,0.568245,-0.266538,1.44226
5.20855,0.568215,-0.425722,1.44677
5.40889,0.568154,-0.570456,1.56088
5.60914,0.568154,-0.655607,1.65366
5.80942,0.568003,-0.769262,1.82651
6.0101,0.567972,-0.920054,1.82933
6.21047,0.567609,-1.14297,2.00956
6.41066,0.567548,-1.28531,2.02265
6.61091,0.567276,-1.43874,2.18435
6.81127,0.567003,-1.52474,2.24805
7.01165,0.563883,-1.56739,2.29122
7.21195,0.563853,-1.55013,2.28673
7.41228,0.546889,-1.46443,2.28819
7.61254,0.407486,-1.42962,2.29088
7.81275,0.161759,-1.43129,2.28976
8.01315,-0.132194,-1.4305,2.28828
8.21334,-0.356777,-1.43374,2.28879
8.41358,-0.354263,-1.4302,2.2774
8.61386,-0.203319,-1.42853,1.90109
8.81416,-0.0578574,-1.4262,1.41545
9.01437,0.0256269,-1.38616,0.856714
9.21462,0.134405,-1.34214,0.583361
9.41482,0.152944,-1.35123,1.19716
9.61501,0.153792,-1.23285,1.09908
9.81538,0.269719,-0.914238,0.933686
10.0157,0.288863,-0.618317,1.27244
10.2162,0.31237,-0.213648,1.49181
10.4165,0.346297,0.0765475,1.45801
10.6168,0.404396,0.0804855,1.0312
10.8171,0.606867,-0.0305039,0.99227
11.0176,0.921236,-0.0979033,0.992179
11.2178,1.22013,-0.250907,0.992785
11.4179,1.40442,-0.488426,0.999783
11.6182,1.44904,-0.737667,1.16091
11.8188,1.4106,-0.874617,1.34414
12.0191,1.20368,-0.728277,1.24197
12.2195,0.844991,-0.347902,1.18608
12.4198,0.604141,-0.0308068,1.19256
12.62,0.56461,-0.0188718,1.43838
12.8203,0.531592,-0.0135405,1.83687
13.0206,0.526654,-0.00884522,1.94222
13.221,0.524625,0.0727005,1.25069
13.4215,0.512296,0.0677932,1.7024
13.6217,0.481731,0.100115,1.33636
13.8218,0.482307,0.111201,1.58593
14.0222,0.484155,0.183205,1.40251
14.2228,0.485609,0.180539,1.41469
14.423,0.485578,0.180479,1.41454
14.6233,0.485609,0.180479,1.41451
14.8236,0.485548,0.1806,1.41448
15.0238,0.485578,0.18057,1.41433
15.2243,0.485548,0.18057,1.41427
15.4244,0.485578,0.180539,1.41424
15.6247,0.485578,0.18057,1.41424
15.8249,0.485578,0.1806,1.41421
16.0252,0.485578,0.180509,1.41418
16.2255,0.485639,0.180509,1.41418
16.4257,0.485639,0.180539,1.41415
16.6258,0.485609,0.180539,1.41415
16.8262,0.485609,0.18057,1.41415
17.0265,0.485609,0.180539,1.41411
17.227,0.485639,0.180539,1.41415
17.4274,0.485609,0.180539,1.41408
17.6278,0.485609,0.180509,1.41415
17.8279,0.485578,0.180509,1.41415
18.0283,0.485578,0.180539,1.41408
18.2287,0.485609,0.180479,1.41408
18.429,0.485609,0.180509,1.41408
18.6293,0.485609,0.180449,1.41402
